Date,Voucher Type,Voucher Number,Account Code,Account Name,Parent Group,Group Path,Debit,Credit,Description
17/06/2025,Payment,AUTO-20260217-0025,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,300.00,Expense Voucher: EV-CR-20250617-1498 - Mohan Suppliers
18/06/2025,Payment,AUTO-20260217-0026,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,40000.00,,Expense Voucher: EV-CR-20250618-8353 - Inmoisture Private Limited
18/06/2025,Payment,AUTO-20260217-0026,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,40000.00,Expense Voucher: EV-CR-20250618-8353 - Inmoisture Private Limited
18/06/2025,Payment,AUTO-20260217-0027,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,1000.00,,Expense Voucher: EV-CR-20250618-7347 - Tulasi Ram Sai
18/06/2025,Payment,AUTO-20260217-0027,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,1000.00,Expense Voucher: EV-CR-20250618-7347 - Tulasi Ram Sai
18/06/2025,Payment,AUTO-20260217-0028,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,7000.00,,Expense Voucher: EV-CR-20250618-9776 - Amma Vanilla
18/06/2025,Payment,AUTO-20260217-0028,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,7000.00,Expense Voucher: EV-CR-20250618-9776 - Amma Vanilla
18/06/2025,Payment,AUTO-20260217-0029,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3000.00,,Expense Voucher: EV-CR-20250618-3605 - Kranthi
18/06/2025,Payment,AUTO-20260217-0029,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3000.00,Expense Voucher: EV-CR-20250618-3605 - Kranthi
18/06/2025,Payment,AUTO-20260217-0030,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,100.00,,Expense Voucher: EV-CR-20250618-3853 - Shanbhu
18/06/2025,Payment,AUTO-20260217-0030,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,100.00,Expense Voucher: EV-CR-20250618-3853 - Shanbhu
19/06/2025,Payment,AUTO-20260217-0032,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,1500.00,,Expense Voucher: EV-CR-20250619-0198 - Kumar
19/06/2025,Payment,AUTO-20260217-0032,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,1500.00,Expense Voucher: EV-CR-20250619-0198 - Kumar
19/06/2025,Payment,AUTO-20260217-0033,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,800.00,,Expense Voucher: EV-CR-20250619-0296 - Tulasi Ram Sai
19/06/2025,Payment,AUTO-20260217-0033,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,800.00,Expense Voucher: EV-CR-20250619-0296 - Tulasi Ram Sai
19/06/2025,Payment,AUTO-20260217-0034,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3300.00,,Expense Voucher: EV-CR-20250619-3946 - Kranthi
19/06/2025,Payment,AUTO-20260217-0034,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3300.00,Expense Voucher: EV-CR-20250619-3946 - Kranthi
19/06/2025,Payment,AUTO-20260217-0035,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,600.00,,Expense Voucher: EV-CR-20250619-0629 - Tulasi Ram Sai
19/06/2025,Payment,AUTO-20260217-0035,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,600.00,Expense Voucher: EV-CR-20250619-0629 - Tulasi Ram Sai
19/06/2025,Payment,AUTO-20260217-0036,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,200.00,,Expense Voucher: EV-CR-20250619-8876 - Naveen 
19/06/2025,Payment,AUTO-20260217-0036,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,200.00,Expense Voucher: EV-CR-20250619-8876 - Naveen 
20/06/2025,Payment,AUTO-20260218-0002,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,5500.00,,Expense Voucher: EV-CR-20250620-9295 - Santosh M
20/06/2025,Payment,AUTO-20260218-0002,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,5500.00,Expense Voucher: EV-CR-20250620-9295 - Santosh M
20/06/2025,Payment,AUTO-20260218-0003,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,500.00,,Expense Voucher: EV-CR-20250620-0423 - Santosh M
20/06/2025,Payment,AUTO-20260218-0003,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,500.00,Expense Voucher: EV-CR-20250620-0423 - Santosh M
20/06/2025,Payment,AUTO-20260218-0004,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,300.00,,Expense Voucher: EV-CR-20250620-8718 - Government Charges
20/06/2025,Payment,AUTO-20260218-0004,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,300.00,Expense Voucher: EV-CR-20250620-8718 - Government Charges
21/06/2025,Payment,AUTO-20260218-0005,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,2000.00,,Expense Voucher: EV-CR-20250621-8094 - Tulasi Ram Sai
21/06/2025,Payment,AUTO-20260218-0005,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,2000.00,Expense Voucher: EV-CR-20250621-8094 - Tulasi Ram Sai
23/06/2025,Payment,AUTO-20260218-0007,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3000.00,,Expense Voucher: EV-CR-20250623-2384 - Santosh M
23/06/2025,Payment,AUTO-20260218-0007,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3000.00,Expense Voucher: EV-CR-20250623-2384 - Santosh M
24/06/2025,Payment,AUTO-20260218-0009,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3000.00,,Expense Voucher: EV-CR-20250624-3250 - Ramesh M
24/06/2025,Payment,AUTO-20260218-0009,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3000.00,Expense Voucher: EV-CR-20250624-3250 - Ramesh M
26/06/2025,Payment,AUTO-20260218-0012,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3000.00,,Expense Voucher: EV-CR-20250626-6173 - Santosh M
26/06/2025,Payment,AUTO-20260218-0012,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3000.00,Expense Voucher: EV-CR-20250626-6173 - Santosh M
26/06/2025,Payment,AUTO-20260218-0013,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,5000.00,,Expense Voucher: EV-CR-20250626-7946 - Mahesh
26/06/2025,Payment,AUTO-20260218-0013,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,5000.00,Expense Voucher: EV-CR-20250626-7946 - Mahesh
26/06/2025,Payment,AUTO-20260218-0014,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,1200.00,,Expense Voucher: EV-CR-20250626-6099 - Tulasi Ram Sai
26/06/2025,Payment,AUTO-20260218-0014,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,1200.00,Expense Voucher: EV-CR-20250626-6099 - Tulasi Ram Sai
26/06/2025,Payment,AUTO-20260218-0015,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,170.00,,Expense Voucher: EV-CR-20250626-5911 - Tulasi Ram Sai
26/06/2025,Payment,AUTO-20260218-0015,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,170.00,Expense Voucher: EV-CR-20250626-5911 - Tulasi Ram Sai
27/06/2025,Payment,AUTO-20260218-0017,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,1000.00,,Expense Voucher: EV-CR-20250627-4985 - Ramesh M
27/06/2025,Payment,AUTO-20260218-0017,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,1000.00,Expense Voucher: EV-CR-20250627-4985 - Ramesh M
28/06/2025,Payment,AUTO-20260218-0019,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,49500.00,,Expense Voucher: EV-CR-20250628-2028 - Sudhakar
28/06/2025,Payment,AUTO-20260218-0019,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,49500.00,Expense Voucher: EV-CR-20250628-2028 - Sudhakar
28/06/2025,Payment,AUTO-20260218-0020,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,2000.00,,Expense Voucher: EV-CR-20250628-1878 - Ramesh M
